"","Species","order","presence","genome.assembly","ott_id","flags","tips"
"199","Sarcocheilichthys variegatus","Cypriniformes","present","",333930,"","Sarcocheilichthys variegatus"
"200","Sardinella zunasi","Clupeiformes","present","",39728,"","Sardinella zunasi"
"201","Sardinops melanostictus",NA,"present","",318896,"","Sardinops melanostictus"
"202","Ischikauia steenackeri","Cypriniformes","present","",84197,"","Ischikauia steenackeri"
"203","Silurus asotus","Siluriformes","present","y",967323,"","Silurus asotus"
"204","Steindachnerina brevipinna","Characiformes","present","",3624501,"","Steindachnerina brevipinna"
"205","Synodontis nigriventris","Siluriformes","present","",315243,"","Synodontis nigriventris"
"206","Takifugu alboplumbeus","Tetraodontiformes","present","",465414,"","Takifugu alboplumbeus"
"207","Tridentiger obscurus","Gobiiformes","present","",98404,"","Tridentiger obscurus"
"208","Vinciguerria nimbaria","Stomiiformes","present","",652358,"","Vinciguerria nimbaria"
"209","Vomeridens infuscipinnis","Perciformes/Notothenioidei","present","y",280419,"","Vomeridens infuscipinnis"
"210","Zacco platypus","Cypriniformes","present","y",652452,"","Zacco platypus"
"211","Nipponocypris temminckii","Cypriniformes","present","",361232,"","Nipponocypris temminckii"
"212","Satanoperca acuticeps","Cichliformes","present","",784676,"","Satanoperca acuticeps"
"213","Biotodoma cupido","Cichliformes","present","",667005,"","Biotodoma cupido"
"214","Geophagus iporangensis","Cichliformes","present","",3636359,"","Geophagus iporangensis"
"215","Guianacara dacrya","Cichliformes","present","",3636364,"","Guianacara dacrya"
"216","Mazarunia mazarunii","Cichliformes","present","",8413,"","Mazarunia mazarunii"
"217","Geophagus steindachneri","Cichliformes","present","",87568,"","Geophagus steindachneri"
"218","Amphilophus citrinellus","Cichliformes","present","y",358037,"sibling_higher","Amphilophus citrinellus"
"219","Coptodon rendalli","Cichliformes","present","y",288060,"","Coptodon rendalli"
"220","Cynotilapia afra","Cichliformes","present","",132192,"","Cynotilapia afra"
"221","Chelon labrosus","Mugiliformes","present","y",777079,"","Chelon labrosus"
"222","Acanthogobius flavimanus","Gobiiformes","present","",705150,"","Acanthogobius flavimanus"
"223","Acestrorhynchus altus","Characiformes","present","",845247,"","Acestrorhynchus altus"
"224","Acipenser ruthenus","Acipenseriformes","present","y",378930,"","Acipenser ruthenus"
"225","Bunocephalus coracoideus","Siluriformes","present","",693715,"","Bunocephalus coracoideus"
"226","Catoprion mento","Characiformes","present","",597343,"","Catoprion mento"
"227","Chilodus punctatus","Characiformes","present","",442783,"","Chilodus punctatus"
"228","Glossogobius olivaceus","Gobiiformes","present","",80171,"","Glossogobius olivaceus"
"229","Gyrinocheilus aymonieri","Cypriniformes","present","",341392,"","Gyrinocheilus aymonieri"
"230","Hippocampus coronatus","Syngnathiformes","present","",503882,"","Hippocampus coronatus"
"231","Macrognathus aculeatus","Synbranchiformes","present","",758692,"","Macrognathus aculeatus"
"232","Malapterurus electricus","Siluriformes","present","",566351,"","Malapterurus electricus"
"233","Mastacembelus erythrotaenia","Synbranchiformes","present","",633395,"","Mastacembelus erythrotaenia"
"234","Metynnis hypsauchen","Characiformes","present","",506575,"","Metynnis hypsauchen"
"235","Plotosus lineatus","Siluriformes","present","y",949069,"","Plotosus lineatus"
"236","Tridentiger trigonocephalus","Gobiiformes","present","",98400,"","Tridentiger trigonocephalus"
"237","Dissostichus eleginoides","Perciformes/Notothenioidei","present","y",1040385,"","Dissostichus eleginoides"
"238","Salvelinus fontinalis","Salmoniformes","present","y",688339,"","Salvelinus fontinalis"
"239","Eleginops maclovinus","Perciformes/Notothenioidei","present","y",816883,"","Eleginops maclovinus"
"240","Abudefduf abdominalis","Ovalentaria/misc","present","",809329,"incertae_sedis_inherited","Abudefduf abdominalis"
"241","Acanthopagrus schlegelii","Eupercaria/misc","present","",380194,"","Acanthopagrus schlegelii"
"242","Acestrorhynchus falcatus","Characiformes","present","",845253,"","Acestrorhynchus falcatus"
"243","Acipenser baerii","Acipenseriformes","present","",518827,"","Acipenser baerii"
