"","X.2","X.1","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity"
"139",139,139,139,"Epinephelus malabaricus","Perciformes","Serranidae","Epinephelus",0,"absent","y",463848,"","Epinephelus_malabaricus",NA,19,"saltwater"
"140",140,140,140,"Halichoeres trimaculatus","Labriformes","Labridae","Halichoeres",0,"absent","y",942026,"","Halichoeres_trimaculatus",NA,20,"saltwater"
"141",141,141,141,"Microschemobrycon callops","Characiformes","Characidae","Microschemobrycon",0.5,"present","",3625570,"","Microschemobrycon_callops",NA,7,"freshwater"
"142",142,142,142,"Acipenser gueldenstaedtii","Acipenseriformes","Acipenseridae","Acipenser",2,"present","y",378912,"","Acipenser_gueldenstaedtii",NA,80,"freshwater"
"143",143,143,143,"Amphilophus citrinellus","Cichliformes","Cichlidae","Amphilophus",1,"present","y",358037,"sibling_higher","Amphilophus_citrinellus",NA,63,"freshwater"
"144",144,144,144,"Anguilla rostrata","Anguilliformes","Anguillidae","Anguilla",1,"present","y",854212,"","Anguilla_rostrata",NA,64,"saltwater"
"145",145,145,145,"Anthias anthias","Perciformes","Serranidae","Anthias",2.5,"present","y",1012253,"","Anthias_anthias",NA,60,"saltwater"
"146",146,146,146,"Apteronotus albifrons","Gymnotiformes","Apteronotidae","Apteronotus",1,"present","",789557,"","Apteronotus_albifrons",NA,30,"freshwater"
"147",147,147,147,"Badis badis","Anabantiformes","Badidae","Badis",1,"present","",989135,"","Badis_badis",NA,45,"freshwater"
"148",148,148,148,"Lipolagus ochotensis","Argentiniformes","Bathylagidae","Lipolagus",1,"present","",562640,"","Lipolagus_ochotensis",NA,77,"saltwater"
"149",149,149,149,"Biotodoma cupido","Cichliformes","Cichlidae","Biotodoma",1,"present","",667005,"","Biotodoma_cupido",NA,18,"freshwater"
"150",150,150,150,"Chromobotia macracanthus","Cypriniformes","Botiidae","Chromobotia",1,"present","y",225526,"","Chromobotia_macracanthus",NA,32,"freshwater"
"151",151,151,151,"Bovichtus variegatus","Perciformes","Bovichtidae","Bovichtus",1,"present","y",448844,"","Bovichtus_variegatus",NA,67,"saltwater"
"152",152,152,152,"Paralichthys olivaceus","Pleuronectiformes","Paralichthyidae","Paralichthys",2,"present","y",883392,"","Paralichthys_olivaceus",NA,57,"saltwater"
