"Species","data_type","presence"
"Microglanis cottoides","description","present"
"Chitala chitala","description","present"
"Chitala chitala","description","present"
"Pseudopimelodus mangurus","description","present"
"Oncorhynchus mykiss irideus","description","present"
"Serrasalmus maculatus","description","present"
"Utiaritichthys sennaebragai","description","present"
"Utiaritichthys sennaebragai","description","present"
"Acipenser baerii","description","present"
"Cephalosilurus fowleri","description","present"
"Gymnodraco acuticeps","description","present"
"Pimelodus maculatus","description","present"
"Hemichromis bimaculatus","description","absent"
"Cyprinus carpio","description","absent"
"Sparus aurata","description","present"
"Sparus aurata","description","present"
"Lateolabrax maculatus","description","present"
"Lateolabrax maculatus","description","present"
"Clarias gariepinus","description","present"
"Ompok bimaculatus","description","present"
"Polyodon spathula","description","present"
"Trematomus bernacchii","description","present"
"Chimaera phantasma","description","present"
"Chimaera phantasma","description","present"
"Dasyatis akajei","description","present"
"Polypterus senegalus","description","present"
"Salvelinus leucomaenis","description","present"
"Oncorhynchus keta","description","present"
"Oncorhynchus masou","description","present"
"Sebastes oblongus","description","present"
"Xenentodon cancila","description","absent"
