"","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","latitude","salinity","climate","Spawning","RepGuild1","RepGuild2","AddInfos","FeedingType","diel","diel1","diel2","diel_continuous"
"531","Latimeria chalumnae","Coelacanthiformes","Latimeriidae","Latimeria",0.5,"present",NA,773491,NA,"Latimeria_chalumnae",NA,53,"saltwater","subtropical, tropical",NA,"bearers","internal live bearers","Despite the lack of an obvious copulatory organ, the reproduction of <i>Latimeria</i> is of the type called ""ovoviviparous"", which means that it has internal fertilisation, and the fetuses are retained within the mother until they have grown large enough (36-38 cm) to fend for themselves.  The eggs are enormous (9 cm in diameter and over 325 g in weight), and the huge yolk supplies all of the nutrients necessary for the growth of the embryo.  In 1975, a large female coelacanth in the American Museum of Natural History was found to contain 5 young in individual compartments of the oviduct (uterus).  They ranged in length from 301 to 327 mm and had well-developed teeth, fins and scales.  Each fetus had a large, flaccid yolk sac attached to its chest.  Dr Peter Forey of The Natural History Museum in London recently dissected one of these fetuses and found a 2 mm wide duct that leads directly from the yolk sac into the anterior part of the intestine.  This yolk duct serves to move yolk from the yolk sac into the intestine where it is digested by the fetus.  The same type of yolk transport into the gut via the yolk duct occurs in pups of ovoviviparous sharks. In some recent publications (Balon et al., 1988; Wourms et al., 1988; Bruton, 1989; Balon, 1991; Wourms et al., 1991) it was suggested (or even stated as a fact) that the reproduction of Latimeria involves ""oophagy"" or ""embryonic cannibalism"" (i.e., that the unborn pups feed on eggs or other siblings while in the uterus).  According to Heemstra and Compagno (1989), there was no evidence to support this ""oophagy"" hypothesis, and Dr Forey's examination of a pup (from the original litter of 5 in the American Museum) found that its intestine was full of yolk (which is what one would expect with a direct connection between yolk sac and intestine) and contained ""no trace of muscle fibres or anything else that might suggest that it had eaten a sib"". Despite the misgivings of Heemstra and Compagno (1989), Wourms et al. (1991) again suggested that ""Oophagy, the ingestion of supernumerary eggs by developing young, may well be the major source of supplemental nutrients for coelacanth pups.""  Speculating from a female that contained 19 ovulated eggs, they calculated that ""19 embryos would occupy 7.0 meters of uterine space in a 2.0 meter fish"" [the implication being that this is physically impossible].  They then concluded that ""At the very most, such a fish could accommodate seven or eight developing embryos, and 11 or 12 eggs would then be superfluous-eggs ... [which] serve as nutrients for the embryos that survive to term"".  Then, in August 1991 a large pregnant female coelacanth, 179 cm long and weighing 98 kg, was caught by a trawler off Pebane on the northern coast of Mozambique (Bruton et al., 1992).  This specimen was given to the natural history museum in Maputo, where it was dissected by the Director, Dr Augusto Cabral, who found that it contained 26 near-term pups, 31-36 cm in length.  Thanks to the discovery and preservation of this Mozambique female, we now know that it is indeed possible for a coelacanth to have at least 26 pups in a litter, and the ""superfluous-eggs"" hypothesis of ""oophagy"" for the coelacanth is itself superfluous. Two pups from the Mozambique specimen were dissected by Heemstra and Greenwood (1992) and found to contain an internal yolk sac, which is the remnant of the large external yolk sac seen on the younger pups from the American Museum specimen.  In the later stages of development, as the yolk supply dwindles, the external yolk sac apparently shrinks and is withdrawn into the body cavity.  Some of the Mozambique pups had a small external yolk sac, and in others there was only a flat scar along the ventral midline to show where the yolk sac had been. In view of the large size (31-36 cm) and advanced development of the pups from the Mozambique female, the size at birth for Latimeria is probably about 35-38 cm (Ref. 38228). Juveniles are born after 13 months (Refs. 26162, 38222) or 3 years (Ref. 30865) of gestation period. Thus, females may give birth only every second or every third year.",NA,"nocturnal","nocturnal","nocturnal",-4
"532","Austrolebias charrua","Cyprinodontiformes","Rivulidae","Austrolebias",0,"absent","y",688711,NA,"Austrolebias_charrua",NA,52,"brackish","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"533","Aethotaxis mitopteryx","Perciformes/Notothenioidei","Nototheniidae","Aethotaxis",1,"present",NA,303038,"extinct_inherited, incertae_sedis","Aethotaxis_mitopteryx",NA,104,"saltwater","polar, subtropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"534","Distichodus affinis","Characiformes","Distichodontidae","Distichodus",1,"present",NA,912276,NA,"Distichodus_affinis",NA,2,"freshwater","tropical",NA,"nonguarders","open water/substratum egg scatterers",NA,NA,NA,NA,NA,NA
"535","Percalates colonorum","Centrarchiformes","Percalatidae","Percalates",1,"present","y",538644,NA,"Percalates_colonorum",NA,42,"freshwater",NA,NA,"nonguarders","open water/substratum egg scatterers","Adults move downstream prior to spawning (Ref. 5259).",NA,"nocturnal","nocturnal","nocturnal",-4
"536","Austrolebias affinis","Cyprinodontiformes","Rivulidae","Austrolebias",3,"present",NA,1018474,NA,"Austrolebias_affinis",NA,36,"freshwater","subtropical, tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA
"537","Hydrolagus colliei","Chimaeriformes","Chimaeridae","Hydrolagus",3,"present",NA,29493,"extinct_inherited, incertae_sedis","Hydrolagus_colliei",NA,82,"saltwater","subtropical","throughout the year, but peaking once","nonguarders","open water/substratum egg scatterers","Distinct pairing during copulation (Ref. 205). The female extrudes two eggs at a time (each contained in a capsule) and may take up to 30 hours to extrude all her egg cases, which then hang from her body on a long filament for another 4 to 6 days. The egg cases end up planted vertically in the mud or just lying with filaments entangled on the bottom. Females extruding egss can be found year-round (Ref. 28499).",NA,NA,NA,NA,NA
"538","Kryptolebias marmoratus","Cyprinodontiformes","Rivulidae","Kryptolebias",0,"absent","y",229709,NA,"Kryptolebias_marmoratus",NA,29,"saltwater","tropical","no obvious seasonal peak","nonguarders","open water/substratum egg scatterers","Eggs are sometimes fertilized internally by accident via close apposition of gonopores in otherwise oviparous fishes (Ref. 7471). Regarded as a self-fertilizing hermaphrodite (Ref. 6028, 245, 35237). Eggs are 1.6 mm in diameter. Sexes can be distinguished after 8 weeks (Ref. 35237).  Also Ref. 103751.",NA,"diurnal","diurnal","diurnal",4
"539","Aphyocharax anisitsi","Characiformes","Characidae","Aphyocharax",0,"absent",NA,852942,NA,"Aphyocharax_anisitsi","y",NA,"freshwater",NA,NA,"nonguarders","open water/substratum egg scatterers","In the tank, spawning occurs usually in early morning, after a period of very active driving by the male. Female lays numerous glass-clear eggs, sometimes 700 to 800, which sink to the bottom of the tank. Eggs hatch in about 20 to 25 hours (Ref. 7020). 
Number of hooks present in the anal fin rays and frequency of occurrence of gill glands suggest stage of maturation in males (Ref. 58431).",NA,"diurnal","diurnal","diurnal",4
"540","Lepisosteus platyrhincus","Semionotiformes","Lepisosteidae","Lepisosteus",0,"absent",NA,804455,NA,"Lepisosteus_platyrhincus","y",NA,"freshwater",NA,"one clear seasonal peak per year","nonguarders",NA,"Observed presence of two distinct waves of developing oocytes in a study indicates a group-synchronous ovary in this species, thus, subsequent spawning during the same breeding season may occur though unverifiable in the same study (Ref. 57432).",NA,NA,NA,NA,NA
