"","X","Species","Order","Family","Genus","SV3","presence","genome.assembly","ott_id","flags","tips","SV.not.in.figure","climate"
"473",473,"Etroplus suratensis","Cichliformes","Cichlidae","Etroplus",1,"present","y",640316,"","Etroplus_suratensis","","tropical"
"474",474,"Gadus morhua (species in domain Eukaryota)","Gadiformes","Gadidae","Gadus",0,"absent","y",114170,"","Gadus_morhua (species in domain Eukaryota)","","NA"
"475",475,"Astronotus ocellatus","Cichliformes","Cichlidae","Astronotus",3,"present","",952936,"","Astronotus_ocellatus","","tropical"
"476",476,"Andinoacara latifrons","Cichliformes","Cichlidae","Andinoacara",3,"present","",334264,"","Andinoacara_latifrons","","tropical"
"477",477,"Rocio octofasciata","Cichliformes","Cichlidae","Rocio",3,"present","",570005,"","Rocio_octofasciata","","NA"
"478",478,"Heros severus","Cichliformes","Cichlidae","Heros",3,"present","",547065,"","Heros_severus","","tropical"
"479",479,"Haplochromis sp.","Cichliformes","Cichlidae","Haplochromis",0,"absent","",737833,"not_otu, incertae_sedis","Haplochromis_sp.","","NA"
"480",480,"Pelvicachromis taeniatus","Cichliformes","Cichlidae","Pelvicachromis",0,"absent","y",66663,"","Pelvicachromis_taeniatus","","tropical"
"481",481,"Steatocranus casuarius","Cichliformes","Cichlidae","Steatocranus",0,"absent","",911145,"","Steatocranus_casuarius","",""
"482",482,"Melanochromis auratus","Cichliformes","Cichlidae","Melanochromis",0,"absent","y",855526,"","Melanochromis_auratus","","NA"
"483",483,"Oreochromis esculentus","Cichliformes","Cichlidae","Oreochromis",0,"absent","",406449,"sibling_higher","Oreochromis_esculentus","","tropical"
"484",484,"Coptodon zillii","Cichliformes","Cichlidae","Coptodon",0,"absent","",862692,"","Coptodon_zillii","","tropical"
"485",485,"Oreochromis spilurus","Cichliformes","Cichlidae","Oreochromis",0,"absent","y",5558327,"sibling_higher","Oreochromis_spilurus","","tropical"
"486",486,"Tilapia sparrmanii","Cichliformes","Cichlidae","Tilapia",0,"absent","y",911151,"","Tilapia_sparrmanii","","tropical"
"487",487,"Oreochromis variabilis","Cichliformes","Cichlidae","Oreochromis",0,"absent","",688559,"sibling_higher","Oreochromis_variabilis","","tropical"
"488",488,"Tor putitora","Cypriniformes","Cyprinidae","Tor",NA,"present","",720179,"","Tor_putitora","","subtropical"
"489",489,"Gadella jordani","Gadiformes","Moridae","Gadella",3,"present","",89173,"","Gadella_jordani","","subtropical"
"490",490,"Gadus chalcogrammus","Gadiformes","Gadidae","Gadus",3,"present","y",1056842,"","Gadus_chalcogrammus","","polar"
"491",491,"Bregmaceros japonicus","Gadiformes","Bregmacerotidae","Bregmaceros",0,"absent","",3630525,"","Bregmaceros_japonicus","","subtropical"
"492",492,"Coelorinchus smithi","Gadiformes","Macrouridae","Coelorinchus",3,"present","",759483,"","Coelorinchus_smithi","","subtropical"
"493",493,"Opsanus beta","Batrachoidiformes","Batrachoididae","Opsanus",1,"present","y",478186,"","Opsanus_beta","","tropical"
"494",494,"Microlepidogaster perforatus","Siluriformes","Loricariidae","Microlepidogaster",0,"absent","",949995,"","Microlepidogaster_perforatus","y","NA"
"495",495,"Hypostomus ancistroides","Siluriformes","Loricariidae","Hypostomus",0,"absent","",698168,"","Hypostomus_ancistroides","y","tropical"
"496",496,"Eurycheilichthys pantherinus","Siluriformes","Loricariidae","Eurycheilichthys",0,"absent","",78431,"","Eurycheilichthys_pantherinus","y","subtropical"
"497",497,"Acestridium discus","Siluriformes","Loricariidae","Acestridium",0,"absent","",925559,"","Acestridium_discus","y","tropical"
"498",498,"Neoplecostomus langeanii","Siluriformes","Loricariidae","Neoplecostomus",0,"absent","",92659,"","Neoplecostomus_langeanii","y","tropical"
"499",499,"Otothyris rostrata","Siluriformes","Loricariidae","Otothyris",0,"absent","",3622970,"","Otothyris_rostrata","y","NA"
"500",500,"Epactionotus bilineatus","Siluriformes","Loricariidae","Epactionotus",0,"absent","",1013586,"","Epactionotus_bilineatus","y","NA"
"501",501,"Chauliocheilos saxatilis","Siluriformes","Loricariidae","Chauliocheilos",0,"absent","",6141697,"","Chauliocheilos_saxatilis","y","tropical"
"502",502,"Neoplecostomus microps","Siluriformes","Loricariidae","Neoplecostomus",0,"absent","",122084,"","Neoplecostomus_microps","y","NA"
"503",503,"Oxyropsis wrightiana","Siluriformes","Loricariidae","Oxyropsis",0,"absent","",983234,"","Oxyropsis_wrightiana","y","tropical"
"504",504,"Plesioptopoma curvidens","Siluriformes","Loricariidae","Plesioptopoma",0,"absent","",92600,"","Plesioptopoma_curvidens","y","tropical"
"505",505,"Delturus carinotus","Siluriformes","Loricariidae","Delturus",3,"present","",440099,"","Delturus_carinotus","","NA"
"506",506,"Corumbataia cuestae","Siluriformes","Loricariidae","Corumbataia",0,"absent","",969822,"","Corumbataia_cuestae","y","NA"
