"","Species","order"
"347","Sebastes inermis","Perciformes"
"348","Sebastes schlegelii","Perciformes"
"349","Sebastiscus marmoratus","Perciformes"
"350","Seriola quinqueradiata","Carangiformes"
"351","Serrapinnus notomelas","Characiformes"
"352","Serrasalmus maculatus","Characiformes"
"353","Serrasalmus rhombeus","Characiformes"
"354","Siganus fuscescens","Acanthuriformes"
"355","Sigmops gracilis","Stomiiformes"
"356","Sillago japonica","Eupercaria/misc"
"357","Silurus asotus","Siluriformes"
"358","Solea senegalensis","Pleuronectiformes"
"359","Sphaeramia nematoptera","Kurtiformes"
"360","Sphyraena pinguis","Carangaria/misc"
"361","Steindachneridion parahybae","Siluriformes"
"362","Steindachnerina brevipinna","Characiformes"
"363","Stephanolepis cirrhifer","Tetraodontiformes"
"364","Sternopygus macrurus","Gymnotiformes"
"365","Strongylura anastomella","Beloniformes"
"366","Stygichthys typhlops","Characiformes"
"367","Symphysodon aequifasciata","Cichliformes"
"368","Syngnathus schlegeli","Syngnathiformes"
"369","Synodontis nigriventris","Siluriformes"
"370","Takifugu alboplumbeus","Tetraodontiformes"
"371","Takifugu pardalis","Tetraodontiformes"
"372","Takifugu xanthopterus","Tetraodontiformes"
"373","Tetragonopterus argenteus","Characiformes"
"374","Tetraodon fluviatilis","Tetraodontiformes"
"375","Thamnaconus modestus","Tetraodontiformes"
"376","Thorichthys meeki","Cichliformes"
"377","Toxotes jaculatrix","Carangaria/misc"
"378","Trachurus japonicus","Carangiformes"
"379","Trematomus bernacchii","Perciformes"
"380","Trematomus lepidorhinus","Perciformes"
"381","Trematomus loennbergii","Perciformes"
"382","Trichiurus lepturus","Scombriformes"
"383","Trichopodus leerii","Anabantiformes"
"384","Tridentiger obscurus","Gobiiformes"
"385","Tridentiger trigonocephalus","Gobiiformes"
"386","Triportheus nematurus","Characiformes"
"387","Trogloglanis pattersoni","Siluriformes"
"388","Utiaritichthys sennaebragai","Characiformes"
"389","Vinciguerria nimbaria","Stomiiformes"
"390","Vomeridens infuscipinnis","Perciformes"
"391","Xenentodon cancila","Beloniformes"
"392","Xenomystus nigri","Osteoglossiformes"
"393","Zacco platypus","Cypriniformes"
"394","Zanclus cornutus","Acanthuriformes"
"395","Zebrasoma velifer","Acanthuriformes"
"396","Zeus faber","Zeiformes"
